cressy	cressey	11	135	217
croyden	croydon	5	19	81
cutshaw	cutshall	6	78	129
denbow	denbo	6	87	57
ferron	farron	6	124	83
furniss	furness	37	415	678
hagger	haggar	19	306	196
hartshorn	hartshorne	28	535	254
hauptmann	hauptman	7	54	88
hazlett	hazlet	12	431	59
haslet	hazlet	5	60	59
hedgepeth	hedgepath	5	182	49
halliwell	helliwell	34	727	454
hellewell	helliwell	21	154	454
henrichs	hinrichs	8	90	210
halbert	holbert	20	415	311
houldsworth	holdsworth	30	143	1069
honour	honor	8	189	105
hoare	hore	49	1911	456
jennet	jennett	7	34	150
jennette	jennett	5	63	150
dupin	jupin	5	45	34
keddie	kiddie	5	153	53
knudson	knudsen	24	445	607
longwill	longwell	5	30	133
mcbean	mcbain	13	244	346
middlemass	middlemas	9	115	104
middlemiss	middlemas	13	257	104
mounce	mounts	11	222	306
oakes	oaks	112	1944	704
parks	park	181	5050	3512
pavlik	pavlick	6	127	63
pickelsimer	picklesimer	6	37	102
pollett	pollitt	12	128	440
pursglove	purseglove	8	92	34
ratcliff	ratcliffe	111	1085	1840
radcliffe	ratcliffe	114	1297	1840
rider	ryder	145	1676	2238
schmaltz	schmalz	9	108	101
signor	signer	5	73	46
silverthorne	silverthorn	15	154	163
starch	starck	5	24	119
tanck	tank	6	21	129
tetreault	tetreau	10	223	114
tetro	tetreau	7	54	114
tetrault	tetreau	5	125	114
tuffin	tuffen	9	168	24
vinette	vinet	7	36	94
wareing	waring	43	345	1245
went	whent	7	186	46
wilcox	willcox	127	4897	646
beaty	beatty	87	1002	2058
bolyn	boleyn	8	37	294
butram	buttram	5	33	123
callen	callan	22	340	544
carnel	carnell	10	38	399
cochon	cauchon	6	44	70
cockram	cockran	14	331	231
crosland	crossland	53	315	771
croteau	croto	7	271	14
don	donn	9	274	116
douthit	douthitt	9	189	109
ebarb	ebarbo	5	48	10
aymard	emard	6	29	65
engleman	englemann	5	161	24
ewan	ewen	21	185	442
finnamore	finnimore	5	49	73
finnemore	finnimore	6	122	73
hamnet	hamnett	6	28	107
hurcombe	harcombe	6	80	63
hilyard	hillyard	12	107	342
hillsdon	hilsdon	6	54	42
jansen	janson	30	963	419
jellico	jellicoe	5	12	61
kennet	kennett	17	72	574
lightowlers	lightowler	10	44	151
livsey	livesey	24	184	549
macro	macrow	7	80	55
maule	maul	13	298	269
mcrobert	mcroberts	8	75	302
macroberts	mcroberts	8	20	302
millgate	milgate	7	79	99
moorehouse	moorhouse	26	197	751
phillippi	philippi	5	123	92
phillipi	philippi	5	56	92
scarbrough	scarborough	43	413	1198
